avaliacao,rating,destino,preco_medio,distancia_km,tipo,sentimento_real
Muito decepcionante. Não vale a pena.,1,Florianópolis,1021,350,praia,negativo
Não gostei. Esperava muito mais.,1,Florianópolis,756,350,praia,negativo
Muito caro e decepcionante. Não recomendo.,1,Florianópolis,754,350,praia,negativo
Muito caro e decepcionante. Não recomendo.,2,Florianópolis,756,350,praia,negativo
Muito decepcionante. Não vale a pena.,1,Florianópolis,862,350,praia,negativo
Terrível experiência. Dinheiro jogado fora.,1,Florianópolis,996,350,praia,negativo
Horrível! Tudo muito sujo e desorganizado.,2,Florianópolis,844,350,praia,negativo
Terrível experiência. Dinheiro jogado fora.,2,Florianópolis,817,350,praia,negativo
Péssimo! Não vale o preço cobrado.,1,Florianópolis,1057,350,praia,negativo
Lugar comum. Nada excepcional.,3,Florianópolis,901,350,praia,neutro
Lugar comum. Nada excepcional.,3,Florianópolis,930,350,praia,neutro
"Pode ir, mas não é imprescindível.",3,Florianópolis,747,350,praia,neutro
Normal. Tem seus pontos bons e ruins.,3,Florianópolis,751,350,praia,neutro
Lugar comum. Nada excepcional.,3,Florianópolis,893,350,praia,neutro
Normal. Tem seus pontos bons e ruins.,3,Florianópolis,847,350,praia,neutro
Aceitável. Poderia ser melhor.,3,Florianópolis,817,350,praia,neutro
Regular. Tem coisas legais e outras não.,3,Florianópolis,949,350,praia,neutro
"Mediano. Esperava mais, mas não foi ruim.",3,Florianópolis,936,350,praia,neutro
"Mediano. Esperava mais, mas não foi ruim.",3,Florianópolis,862,350,praia,neutro
Que lugar lindo! Ficamos apaixonados.,4,Manaus,1677,3500,natureza,positivo
Que lugar lindo! Ficamos apaixonados.,4,Manaus,1651,3500,natureza,positivo
Simplesmente perfeito! Tudo funcionou muito bem.,4,Manaus,1695,3500,natureza,positivo
Perfeito! Tudo bem organizado e muito bonito.,4,Manaus,2016,3500,natureza,positivo
Que lugar lindo! Ficamos apaixonados.,5,Manaus,1818,3500,natureza,positivo
Excelente custo-benefício! Muito bom mesmo.,4,Manaus,1768,3500,natureza,positivo
Excelente custo-benefício! Muito bom mesmo.,4,Manaus,1999,3500,natureza,positivo
Adorei! Voltaria mil vezes se pudesse.,5,Manaus,1892,3500,natureza,positivo
Excelente custo-benefício! Muito bom mesmo.,5,Manaus,1758,3500,natureza,positivo
Perfeito! Tudo bem organizado e muito bonito.,5,Manaus,1822,3500,natureza,positivo
Muito caro e decepcionante. Não recomendo.,1,Manaus,2365,3500,natureza,negativo
Muito ruim! Atendimento péssimo.,1,Manaus,1651,3500,natureza,negativo
Horrível! Pior viagem que já fiz.,2,Manaus,2114,3500,natureza,negativo
Muito decepcionante. Não vale a pena.,1,Manaus,1658,3500,natureza,negativo
Muito decepcionante. Não vale a pena.,1,Manaus,1790,3500,natureza,negativo
Péssimo! Não vale o preço cobrado.,1,Manaus,2291,3500,natureza,negativo
Não gostei. Esperava muito mais.,2,Manaus,1722,3500,natureza,negativo
Horrível! Pior viagem que já fiz.,1,Manaus,2192,3500,natureza,negativo
Horrível! Pior viagem que já fiz.,1,Manaus,2234,3500,natureza,negativo
Péssimo! Não vale o preço cobrado.,2,Manaus,2273,3500,natureza,negativo
"Aceitável, mas poderia melhorar bastante.",3,Manaus,2178,3500,natureza,neutro
Regular. Tem coisas legais e outras não.,3,Manaus,1923,3500,natureza,neutro
"Razoável. Alguns pontos bons, outros nem tanto.",3,Manaus,1809,3500,natureza,neutro
Nem bom nem ruim. Apenas ok.,3,Manaus,1844,3500,natureza,neutro
"Razoável. Alguns pontos bons, outros nem tanto.",3,Manaus,2005,3500,natureza,neutro
"Mediano. Esperava mais, mas não foi ruim.",3,Manaus,2287,3500,natureza,neutro
"Razoável. Alguns pontos bons, outros nem tanto.",3,Manaus,2068,3500,natureza,neutro
Nem bom nem ruim. Apenas ok.,3,Manaus,2369,3500,natureza,neutro
Normal. Tem seus pontos bons e ruins.,3,Manaus,1609,3500,natureza,neutro
"Pode ir, mas não é imprescindível.",3,Manaus,2236,3500,natureza,neutro
Recomendo demais! Vale muito a pena visitar.,4,Foz do Iguaçu,917,800,natureza,positivo
Simplesmente perfeito! Tudo funcionou muito bem.,4,Foz do Iguaçu,1139,800,natureza,positivo
Adorei! Voltaria mil vezes se pudesse.,4,Foz do Iguaçu,1058,800,natureza,positivo
Maravilhoso! Paisagens de tirar o fôlego e pessoas muito simpáticas.,4,Foz do Iguaçu,1069,800,natureza,positivo
Adorei! Voltaria mil vezes se pudesse.,4,Foz do Iguaçu,1104,800,natureza,positivo
Simplesmente perfeito! Tudo funcionou muito bem.,5,Foz do Iguaçu,1193,800,natureza,positivo
Simplesmente perfeito! Tudo funcionou muito bem.,4,Foz do Iguaçu,1221,800,natureza,positivo
Simplesmente perfeito! Tudo funcionou muito bem.,5,Foz do Iguaçu,1219,800,natureza,positivo
Maravilhoso! Paisagens de tirar o fôlego e pessoas muito simpáticas.,4,Foz do Iguaçu,1015,800,natureza,positivo
Maravilhoso! Paisagens de tirar o fôlego e pessoas muito simpáticas.,4,Foz do Iguaçu,1260,800,natureza,positivo
Muito decepcionante. Não vale a pena.,1,Foz do Iguaçu,1019,800,natureza,negativo
Decepção total. Não volto mais.,1,Foz do Iguaçu,1247,800,natureza,negativo
Muito ruim! Atendimento péssimo.,1,Foz do Iguaçu,1231,800,natureza,negativo
Decepção total. Não volto mais.,2,Foz do Iguaçu,1008,800,natureza,negativo
Muito caro e decepcionante. Não recomendo.,1,Foz do Iguaçu,1204,800,natureza,negativo
Não recomendo. Muito caro pelo que oferece.,2,Foz do Iguaçu,902,800,natureza,negativo
Muito caro e decepcionante. Não recomendo.,2,Foz do Iguaçu,1274,800,natureza,negativo
Horrível! Tudo muito sujo e desorganizado.,2,Foz do Iguaçu,962,800,natureza,negativo
Terrível experiência. Dinheiro jogado fora.,2,Foz do Iguaçu,1167,800,natureza,negativo
Muito caro e decepcionante. Não recomendo.,1,Foz do Iguaçu,918,800,natureza,negativo
"Mediano. Esperava mais, mas não foi ruim.",3,Foz do Iguaçu,1159,800,natureza,neutro
"Lugar ok. Nada de especial, mas também não é ruim.",3,Foz do Iguaçu,1307,800,natureza,neutro
Nem bom nem ruim. Apenas ok.,3,Foz do Iguaçu,1178,800,natureza,neutro
Regular. Tem coisas legais e outras não.,3,Foz do Iguaçu,955,800,natureza,neutro
Lugar comum. Nada excepcional.,3,Foz do Iguaçu,945,800,natureza,neutro
"Lugar ok. Nada de especial, mas também não é ruim.",3,Foz do Iguaçu,1037,800,natureza,neutro
Nem bom nem ruim. Apenas ok.,3,Foz do Iguaçu,1287,800,natureza,neutro
"Lugar ok. Nada de especial, mas também não é ruim.",3,Foz do Iguaçu,1063,800,natureza,neutro
Aceitável. Poderia ser melhor.,3,Foz do Iguaçu,1229,800,natureza,neutro
Aceitável. Poderia ser melhor.,3,Foz do Iguaçu,1221,800,natureza,neutro
